Date,Open,High,Low,Close,Volume,Turnover
2017/5/12,76.25,76.5,76.15,76.3,2811,214493
2017/5/15,76.3,76.55,76.2,76.5,1286,98285
2017/5/16,76.5,76.6,76.25,76.5,1590,121455
2017/5/17,76.3,76.4,76.05,76.3,1332,101439
2017/5/18,75.65,75.9,75.3,75.9,4265,322866
2017/5/19,75.65,75.9,75.65,75.85,1163,88167
2017/5/22,75.95,76.15,75.75,76.05,2576,195791
2017/5/23,76.05,76.45,76,76.35,3844,292888
2017/5/24,76.35,76.45,76.25,76.3,2886,220350
2017/5/25,76.7,77,76.45,77,4682,360095
2017/5/26,77,77.15,76.75,76.95,4018,308975
2017/5/31,76.95,77.5,76.4,76.5,2701,207173
2017/6/1,76.5,76.9,76.5,76.9,2222,170334
2017/6/2,77.3,77.3,77.05,77.2,3541,273288
2017/6/3,77.25,77.4,77.25,77.4,2052,158710
2017/6/5,77.35,78,77.25,78,3282,254540
2017/6/6,77.95,77.95,77.7,77.95,1203,93684
2017/6/7,77.9,78.1,77.7,77.95,1845,143853
2017/6/8,77.95,78.25,77.8,78.25,1887,147421
2017/6/9,78.05,78.35,77.95,78,3010,235254
2017/6/12,77.15,77.5,77.05,77.15,3301,254991
2017/6/13,77.15,77.3,77,77.25,1616,124661
2017/6/14,77.4,77.4,76.5,76.85,3381,259920
2017/6/15,76.8,76.9,76.6,76.9,1507,115743
2017/6/16,76.9,77.7,76.85,77.7,4233,327235
2017/6/19,77.7,78.55,77.7,78.55,5145,403116
2017/6/20,78.6,79.65,78.6,79.45,4047,320906
2017/6/21,79.2,79.9,78.85,79.55,13613,1084760
2017/6/22,79.6,79.85,79.55,79.75,6113,487656
2017/6/23,79.75,80.05,79.65,79.7,8517,679314
2017/6/26,79.8,81.5,79.8,81.4,14254,1152368
2017/6/27,81.4,81.5,81,81.3,3014,244715
2017/6/28,80.9,81.05,80.3,80.55,6287,506228
2017/6/29,81,81.05,80.5,80.65,1427,115380
2017/6/30,80.1,80.4,79.8,80.4,3071,245991
2017/7/3,80.4,80.6,80.2,80.45,1551,124699
2017/7/4,80.45,80.6,80,80,1237,99372
2017/7/5,80.1,80.75,79.75,80.75,2274,182530
